restaurant_id,restaurant_name,menu_item,category,description,price,exclusion_reason
2402066,Maeve's Tavern,Irish Spice Bag,Appetizers,"seasoned crispy chicken thigh pieces, fries, sweet peppers, red onion, chili mayo",14.0,bag
2402066,Maeve's Tavern,Irish Spice Bag,Appetizers,"seasoned crispy chicken thigh pieces, fries, sweet peppers, red onion, chili mayo",14.0,bag
2402066,Maeve's Tavern,Irish Spice Bag,Appetizers,"seasoned crispy chicken thigh pieces, fries, sweet peppers, red onion, chili mayo",14.0,bag
2200589,Pilot Pizza,Bourbon Pecan Take Home Coffee Bag,Non-Alcoholic Beverages,"rich, smoky flavor with a smooth finish makes our bourbon pecan a holiday hit among highway coffee aficionados. with this 12 oz bag of ground bourbon pecan coffee, you can brew a cup (or a pot) and savor the season at home or wherever the road takes you.",11.29,bag
1683390,Finish Line,"Nike Brasiliagym Training Duffel Bag, L, Black/white",Wine,,52.0,bag
2459105,NEW BEAUTY NAIL BAR LLC,$75 Gift Certificate,Other,$75 gift certificate,75.0,gift certificate
1718527,Mississippi Old Town Taco,Bag Of Chips/bolsa De Tortilla Frita,Appetizers,,4.55,bag
2286396,Uncle Lou's Southern Kitchen,8 Lb Bag Of Ice,Other,,1.98,bag
2579407,Swanky's Taco Shop,X-large Bag Of Chips/ 32 Ounce Queso - Wundy Special,Appetizers,x-large bag of swanky's signature chips and a 32oz container of delicious swanky's queso,36.0,bag
1090499,Memphis Pizza Cafe,"Happy Hour Discount 13""",Pizzas,,1.0,discount
2395847,MOCHIATSU,Medium Roast Vietnamese Coffee Bag,Non-Alcoholic Beverages,,18.0,bag
2448371,STREET TACOS,Bag Of Corn Chips,Sides,our made in-house corn chips,1.0,bag
1732144,JD Sports,Nike Brasiliatraining Extra Small Duffel Bag (25l) (one Size),Appetizers,,37.0,bag
1509560,Taco Riot,Chips Bag,Sides,,1.29,bag
1706037,Bluff City Crab,Crab Bag,Entrées,"one snow crab cluster, one corn, and two potatoes.you can add a cluster, lobster tail, sausage, egg or broccoli. you can also make it as juicy as you like!",39.99,bag
2123815,SOUTH MEMPHIS GROCERY,Delivery Fee,Sandwiches & Burgers,,40.0,delivery fee
1846760,Lit Cafe & Billiard,Bag Of Nuts,Other,,2.35,bag
2458555,ON THE YARD,Aka Canvas Bag Blk,Other,,58.99,bag
2443841,INSPIRE BY MARCELA BEAUTY SPA,Lash Booking Fee - Non Refundable,Other,,20.0,fee
2476898,RIVERARTSFEST INC,Tote Bag,Other,,10.0,bag
2556262,CEDARS RESTAURANT INC,Bag Of Pita,Sandwiches & Burgers,,3.29,bag
2165636,Ali Baba Mediterranean Grill,Bag Of Pita,Sides,,5.9,bag
2456443,ALI BABA RESTAURANT,Bag Of Pita,Sides,,5.0,bag
2458555,ON THE YARD,Dst Canvas Bag,Other,,49.99,bag
2458555,ON THE YARD,Sgr Lg Gift Bag,Other,,7.99,gift bag
2452966,HPH MKT,Membership,Other,,49.99,membership
2338882,Tops Bar-B-Q #22,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
1968978,Tops Bar-B-Q,Bag Of Potato Chips,Sides,assorted flavors from brim,1.79,bag
