restaurant_id,restaurant_name,zip_or_postal_code,KEEP,PROMOTE,REMOVE,REFRESH_RECIPE,REPOSITION,ADD_NEW_ITEM,SEASONAL_SPECIAL,EXPAND_CATEGORY,PRICE_OPTIMIZATION
1432963,Subway,38019,Pizza Sub | Peppercorn Ranch Chicken | Baja Chicken | Tuna | Chicken & Bacon Ranch,Spicy Nacho Chicken | Grilled Chicken | Sweet Onion Chicken Teriyaki(r) | Grilled Chicken & Avocado,Gogo Squeez(r) Apple Apple,Gogo Squeez(r) Apple Apple | Lays(r) Classic | Pepsi(r) | Gatorade(r) Fruit Punch | Gatorade(r) Cool Blue,Spicy Nacho Chicken,Korean BBQ taco or bowl,Spicy Nacho Chicken | Grilled Chicken | Peppercorn Ranch Chicken | Grilled Chicken & Avocado | Baja Chicken,Expand Pizza/Flatbreads | Expand Wings/Chicken | Expand Burgers/Sandwiches,Raspberry Cheesecake Cookie | Oatmeal Raisin Cookie | Double Chocolate Cookie | Chocolate Chip Cookie | White Chip Macadamia Nut Cookie
1433164,Wendy's,72301,"Breakfast Baconator(r) | Kids' 4 Pc. Spicy Nuggets | 10 Pc. Spicy Chicken Nuggets | Sausage, Egg & Cheese Biscuit | Asiago Ranch Classic Chicken Club","Apple Pecan Salad | Taco Salad | Cobb Salad | Breakfast Burrito, Sausage | Parmesan Caesar Salad",Jr. Hamburger,Jr. Hamburger | Chocolate Milk | Milk | Pure Life(r) Bottled Water | 6 Piece French Toast Sticks,Apple Pecan Salad,Healthy lunch salad | Limited-time specialty pizza,"Apple Pecan Salad | Cobb Salad | Breakfast Burrito, Sausage | Taco Salad | Kids' 2 Pc. Tenders",Expand Tacos/Burritos | Expand Wings/Chicken,Jr. Hamburger | 4 Pc. Crispy Chicken Nuggets | 4 Pc. Spicy Chicken Nuggets
1434560,Exclusive Foods,38115,Quesadilla (1 Pc) & Fries,Grilled Pb&j,Dr. Pepper | Coke | Pepsi | Hotdogs And Fries | Hot Dog & Fries,Chicken Gyro | Sunkist | Root Beer | Exclusive Juice | Philly Cheese Steak,Grilled Pb&j,Healthy lunch salad | Limited-time specialty pizza | Signature chicken special,Hot Dog & Fries,Expand Tacos/Burritos,Dr. Pepper | Coke | Pepsi
1435577,Subway,38637,Pizza Sub | Chicken & Bacon Ranch | Honey Mustard Bbq | Honest Kids(r) Super Fruit Punch | Personal Cheese Pizza,Grilled Chicken | Sweet Onion Chicken Teriyaki(r) | Grilled Chicken & Avocado | Peppercorn Ranch Chicken | Baja Chicken,Gogo Squeez(r) Apple Apple,Gogo Squeez(r) Apple Apple | Lays(r) Classic | Pepsi(r) | Gatorade(r) Fruit Punch | Gatorade(r) Cool Blue,Spicy Nacho Chicken,Korean BBQ taco or bowl,Spicy Nacho Chicken | Grilled Chicken | Peppercorn Ranch Chicken | Grilled Chicken & Avocado | Baja Chicken,Expand Wings/Chicken | Expand Pizza/Flatbreads,1% Low Fat Milk | Lays(r) Baked Original | Raspberry Cheesecake Cookie | Oatmeal Raisin Cookie
1436307,Pardon My Cheesesteak,38118,Buffalo Tender Loaded Fries | Buffalo Tender Sub | 5 Tenders & Fries | 3 Tenders & Fries | Donut Dippers,Buffalo Tender Loaded Fries,Starry,Fries | Starry | Pepsi | Pepsi Zero | Mountain Dew,Big Cat Combo,Healthy lunch salad | Korean BBQ taco or bowl | Limited-time specialty pizza,Buffalo Tender Loaded Fries,Expand Wings/Chicken,Big Cat Combo | The Big One | The Max Special
1438598,VIVYD,38134,"Shrimp Crab Avocado Salad | Chef Salad | Tacos (3 Pcs), Quesadilla , & Fries | Quesadilla",Vivyd Chicken Cajun Pasta | Taco Salad | Tri Color Pasta Salad,Pecan Pie | Cookies | Banana Pudding | Lemon Ice Box Pie | Peach Cobbler,Grilled Chicken Salad | Chicken Caesar Salad | Chicken Bacon Ranch Fries | Wings | Vivyd Chicken-n-waffle,Vivyd Wing Boil,Healthy lunch salad,Vivyd Chicken Cajun Pasta | Vivyd Wing Boil | Chicken Caesar Salad | Grilled Chicken Salad | Taco Salad,Expand Tacos/Burritos,"Taco | Burger, Wings (3 Pcs), & Fries"
1439087,Asiana Vegetarian,38138,Seaweed Stew,Ma Po Squares | Sweet & Sour Stew | Sea Of Pan Fried Noodles | Superb Cantonese Lo Mein Noodles | True Thai Basil,Chinese Fun Fried,Soda | Unsweet Tea | Sweet Tea | Chinese Fun Fried | Thai Basil Fun Fried,Hint Hunan | Mink Mongolian | Pathway Pao | Buddhist Charm | Beyond Broccoli,Korean BBQ taco or bowl | Signature chicken special,Ma Po Squares | True Thai Basil | Sweet & Sour Stew | Hint Hunan | Mink Mongolian,Expand Pizza/Flatbreads,Thai Basil Fun Fried
1439126,Starbucks,38018,"Jalapeno Chicken Pocket | Ellenos Strawberry Shortcake Greek Yogurt | Tomato & Mozzarella On Focaccia | Turkey Bacon, Cheddar & Egg White Sandwich | Sugar-free Caramel Protein Matcha","Spicy Falafel Pocket | Double-smoked Bacon, Cheddar & Egg Sandwich | Impossible Breakfast Sandwich | Evolution Fresh(r) Organic Super Fruit Greens | Vanilla Protein Latte","Petite Vanilla Bean Scone | All In Madagascar Vanilla, Honey & Almonds Bar | Siete Sea Salt Kettle Cooked Potato Chips | Marshmallow Dream Bar | Mango Dragonfruit Refresher",Perfect Bar(r) - Dark Chocolate Chip Peanut Butter | Horizon Organic(r) Lowfat Milk | Horizon Organic(r) Lowfat Chocolate Milk | Sol-ti(r) Turmeric Supershot(r) | Sol-ti(r) Ginger Supershot(r),Iced Double Berry Matcha | Everything Bagel | Plain Bagel | Cortado | Gingerbread Latte,Korean BBQ taco or bowl | Signature chicken special,Spicy Falafel Pocket | Vanilla Protein Latte | Sugar-free Caramel Protein Latte | Sugar-free Vanilla Protein Latte | Caramel Protein Latte,Expand Pizza/Flatbreads | Expand Burgers/Sandwiches,Coffee Traveler - Decaf Pike Place(r) Roast | Coffee Traveler - Pike Place(r) Roast | Avocado Spread | Cranberry Bliss(r) Bar Tray
1441345,Burger King,38104,Egg-normous Burrito Meals | Egg-normous Burrito | Breakfast Burrito Jr.,Cheeseburger King Jr. Meal,Hershey's(r) Sundae Pie | Hash Browns | French Toast Sticks | Onion Rings | Soft Serve Cup,Hamburger King Jr. Meal | Rodeo Burger | Double Cheeseburger Meal | Bacon Double Cheeseburger Meal | Two Cheeseburger Meal,Cheeseburger Meal | Impossible Whopper Meal,Healthy lunch salad | Limited-time specialty pizza,Cheeseburger Meal,Expand Tacos/Burritos,4 Pc. Chicken Nuggets | 4 Pc. Chicken Fries | Royal Four | Triple Bundle | Family Bundle
1443549,Walgreens Alcohol,38632,"Modelo Especial Lager Beer (6 X 12 Fl Oz) | Heineken Non Alcohol Premium Quality Beer (6 Xfl Oz) | Bud Light Premium Lager Beer (6 X 16 Fl Oz) | Miller Lite A Fine Pilsner Beer (6 X 16 Fl Oz) | Mike's Premium Malt Beverage Hard Beer, Lemon - Fruit (6 Xfl Oz)","Twisted Tea Hard Iced Tea, Original (12 X 12 Fl Oz) | Coors Light American Light Lager Beer (12 X 12 Fl Oz) | Heineken Original Premium Pale Lager Beer (12 X 12 Fl Oz) | Corona Extra Mexican Lager Beer (12 X 12 Fl Oz) | Bud Light American Lager Beer (12 X 12 Fl Oz)",Barefoot Wine Pink Moscato Wine -ml,"White Claw Gluten Free The Iconic Hard Seltzer Variety Pack, Raspberry-black Cherry-pineapple-natural Lime (12 X 12 Fl Oz)","Twisted Tea Original Hard Iced Tea, Original (24 Fl Oz)",Healthy lunch salad | Korean BBQ taco or bowl | Limited-time specialty pizza,"Twisted Tea Hard Iced Tea, Original (12 X 12 Fl Oz)",Expand Beverages,Michelob Ultra Superior Light Beer (18 X 12 Fl Oz) | Modelo Especial Cerveza Mexican Lager Imported Beer (18 X 12 Fl Oz) | Heineken Original Premium Pale Lager Beer (12 X 12 Fl Oz) | Corona Extra Mexican Lager Beer (12 X 12 Fl Oz) | Coors Light Born In The Rockies Beer (18 X 12 Fl Oz)
